condition,text,perplexity,mean_entropy,mean_surprisal,mean_word_entropy,mean_word_surprisal,n_tokens,n_words
anne_frank,THE DIARY OF A YOUNG GIRL : THE DEFINITIVE EDITION Anne Frank Edited by Otto H.,75.88505554199219,5.7551422507866565,6.245740065136659,6.443818635617694,7.234181234164411,23,16
anne_frank,"Frank and Mirjam Pressler Translated by Susan Massotty FOREWORD THE DIARY OF A YOUNG GIRL 53 OCTOBER 9, 1942 PROSPECTUS AND GUIDE TO THE SECRET ANNEX END OF PART ONE THE SAME DAY FRIDAY, JUNE 2, 1944 J 314 ANNE FRANK FOREWORD Anne Frank kept a diary from June 12, 1942, to August 1, 1944.",57.16859817504883,5.8014555378732355,5.8370939132998165,6.361965265079882,6.314661706986672,88,55
anne_frank,"Initially, she wrote it strictly for herself.",63.647884368896484,6.66612109541893,5.992039773500541,6.227249724524362,6.081079924315295,8,7
anne_frank,"Then, one day in 1944, Gerrit Bolkestein, a member of the Dutch government in exile, announced in a radio broadcast from London that after the war he hoped to collect eyewitness accounts of the suffering of the Dutch people under the German occupation, which could be made available to the public.",20.492326736450195,5.212625449461242,4.357011601312875,5.1468071363281975,4.204893137181902,60,51
anne_frank,"As an example, he specifically mentioned letters and diaries.",64.13404846191406,6.4178105206652125,6.003017624525481,7.0387852684491214,6.690995341961797,11,9
anne_frank,"Impressed by this speech, Anne Frank decided that when the war was over she would publish a book based on her diary.",29.204593658447266,5.435727405051391,4.868123038706988,5.259838833050295,4.673889156650007,24,22
anne_frank,"She began rewriting and editing her diary, improving on the text, omitting passages she didn’t think were interesting enough and adding others from memory.",97.5783920288086,5.7532724293259285,6.608357254835995,6.018450333183864,6.027807179240118,30,24
anne_frank,"At the same time, she kept up her original diary.",26.592859268188477,6.938715842637149,4.732966756919997,7.098126685619354,4.891097799895434,11,10
anne_frank,"In the scholarly work The Diary of Anne Frank: The Critical Edition (1989), Anne’s first, unedited diary is referred to as version a, to distinguish it from her second, edited diary, which is known as version b.",39.84351348876953,5.881697018941243,5.316268919103967,5.700265779151573,4.984416936567709,48,37
anne_frank,"The last entry in Anne’s diary is dated August 1, 1944.",118.12814331054688,6.775077676773071,6.884206181344899,6.580720977349714,6.30110431110748,15,11
anne_frank,"On August 4, 1944, the eight people hiding in the Secret Annex were arrested.",62.37549591064453,6.3851147666573524,5.962906938814539,6.559399838958468,6.402956672270569,16,14
anne_frank,"Miep Gies and Bep Voskuijl, the two secretaries working in the building, found Anne’s diaries strewn allover the floor.",154.68833923339844,7.270547862138067,7.27321557080704,6.923613776109721,6.6802244813025995,35,19
anne_frank,",Miep Gies tucked them away in a desk drawer for safekeeping.",151.677001953125,6.321414694190025,7.244617187962003,5.5355670777234165,6.038000811393783,16,11
anne_frank,"After the war, when it became clear that Anne was dead, she gave the diaries, unread, to Anne’s father, Otto Frank.",50.74501419067383,5.994137963941021,5.665190874039274,6.3446740895982785,5.536571296150091,31,21
anne_frank,"After long deliberation, Otto Frank decided to fulfill his daughter’s wish and publish her diary.",172.05026245117188,5.852908815443516,7.426664379833651,6.341904173956976,7.050475676978431,20,15
anne_frank,"He selected material from versions a and b, editing them into a shorter version later referred to as version c.",117.81644439697266,6.01455363205501,6.88039629076173,5.981354576349259,6.7619729697177515,21,20
anne_frank,Readers all over the world know this as The Diary of a fauna Girl.,90.63389587402344,6.114828243851662,6.501977757129801,5.839252420834133,5.78299251614188,16,14
anne_frank,"In making his choice, Otto Frank had to bear several points in mind.",139.83331298828125,7.252090351922171,7.127563872599643,7.300723506854131,7.111661291643459,14,13
anne_frank,"To begin with, the book had to be kept short so that it would fit in with a series put out by the Dutch publisher.",28.85931968688965,6.17557803942607,4.850965084355877,6.231649441719055,4.980686308955977,26,25
anne_frank,"In addition, several passages dealing with Anne’s sexuality were omitted; at the time of the diary’s initial publication, in 1947, it was not customary to write openly about sex, and certainly not in books for young adults.",47.33159255981445,5.5119576547294855,5.564730875049913,5.538342245124482,5.33812716429229,48,37
anne_frank,"Out of respect for the dead, Otto Frank also omitted a number of unflattering passages about his wife and the other residents of the Secret Annex.",62.29583740234375,7.054415302617209,5.96106367383067,7.1831146742288885,5.953756114804969,28,26
anne_frank,"Anne Frank, who was thirteen when she began her diary and fifteen when she was forced to stop, wrote without reserve about her likes and dislikes.",44.4465446472168,5.744243969233578,5.473998870214342,5.723251614607691,5.78881176948125,29,26
anne_frank,"When Otto Frank died in 1980, he willed his daughter’s manuscripts to the Netherlands State Institute for War Documentation in Amsterdam.",196.91310119628906,6.043786961298722,7.621407720650658,6.184375771454403,6.910072375120647,26,21
anne_frank,"Because the authenticity of the diary had been challenged ever since its publication, the Institute for War Documentation ordered a thorough investigation.",44.0987434387207,6.1859783206297,5.462665502732495,6.216751425103708,5.632471519415201,23,22
anne_frank,"Once the diary was proved, beyond a shadow of a doubt, to be genuine, it was published in its entirety, along with the results of an exhaustive study.",15.948451042175293,5.201876516919583,3.9953436993792506,5.177935855197055,3.943806051322841,32,28
anne_frank,"The Critical Edition contains not only versions a, band c, but also articles on the background of the Frank family, the circumstances surrounding their arrest and deportation, and the examination into Anne’s handwriting, the document and the materials used.",157.88279724121094,6.547911508286253,7.302695500474723,6.7217790224613285,7.180548088902114,47,39
anne_frank,"The Anne Frank-Fonds (Anne Frank Foundation) in Basel (Switzerland),.",82.69697570800781,6.779110762808058,6.369762128768304,7.299193196826511,6.897341594266285,18,9
anne_frank,"which as Otto Frank’s sole heir had also inherited his daughter’s copyrights, then decided to have anew, expanded edition of the diary published for general readers.",180.66229248046875,6.966330762420382,7.4971495888035955,7.198021874213831,7.434798477903282,35,26
anne_frank,"This new edition in no way affects the integrity of the old one originally edited by Otto Frank, which brought the diary and its message to millions of people.",72.1305160522461,6.503995629151662,6.172536673915539,6.4982308642617586,6.2545411817059104,30,29
anne_frank,The task of compthng the expanded edition was given to the writer and translator Mirjam Pressler.,232.01878356933594,7.8646159887313845,7.858095916460266,8.159606277942657,7.826695503955916,20,16
anne_frank,Otto Frank’s original selection has now been supplemented with passages from Anne’s a and b versions.,253.58628845214844,7.090749745783598,7.986331098016816,6.92197647690773,7.336236244586031,23,16
anne_frank,"Mirjam Pressler’s definitive edition, approved by the Anne Frank-Fonds, contains approximately 30 percent more material and is intended to give the reader more insight into the world of Anne Frank.",83.60247039794922,6.153704309463501,6.385473450144316,5.758126942316691,4.948734789757095,40,30
anne_frank,"In writing her second version (b), Anne invented pseudonyms for the people who would appear in her book.",99.07845306396484,6.965191341581798,6.630498165175017,6.982385125425127,6.495544345970772,21,18
anne_frank,"She initially wanted to call herself Anne Aulis, and later Anne Robin.",159.58299255371094,6.2434414009253185,7.318163496952864,7.120487275843819,7.502955545829255,15,12
anne_frank,Otto Frank opted to call his family by their own names and to follow Anne’s wishes with regard to the others.,175.85572814941406,6.5893242707848545,7.458238640890732,6.509903444065934,6.817626134143547,25,21
anne_frank,"Over the years, the identity of the people who helped the family in the Secret Annex has become common knowledge.",30.816831588745117,7.192726606414432,4.945646183331156,7.237917453050613,5.10883235316837,21,20
anne_frank,"In this edition, the helpers are now referred to by their real names, as they so justly deserve to be.",38.600830078125,6.254778969547023,5.270558388008449,6.251082400977611,5.6139101531022355,23,20
anne_frank,All other persons are named in accordance with the pseudonyms in The Critical Edition.,103.24127960205078,6.74315930356582,6.689874761367064,6.9875730866832395,7.011410828343573,15,14
anne_frank,The Institute for War Documentation has arbitrarily assigned initials to those persons wishing to remain anonymous.,143.71395874023438,5.891529461368918,7.1670533040784745,5.891529461368918,7.1670533040784745,16,16
anne_frank,"The real names of the other people hiding in the Secret Annex are: THE VAN PELS FAMILY (from Osnabriick, Germany): Auguste van Pels (born September 9, 1890) Hermann van Pels (born March 31, 1889) Peter van Pels (born November 8, 1926) Called by Anne, in her manuscript: Petronella, Hans and Alfred van Daan; and in the book: Petronella, Hermann and Peter van Daan.",37.98481750488281,5.96271893559116,5.247350186462705,6.156399039995103,5.336861301211872,101,63
anne_frank,"FRITZ PFEFFER (born April 30, 1889, in Giessen, Germany): Called by Anne, in her manuscript and in the book: Alfred Dussel.",98.43415832519531,6.966576639243534,6.621085966205716,7.323597541404148,6.7539946827016575,35,21
anne_frank,"The reader may wish to bear in mind that much of this edition is based on the b version of Anne’s diary, which she wrote when she was around fifteen years old.",38.71797180175781,5.194085408209099,5.274924402304745,4.936759157804772,4.945202514216811,36,32
anne_frank,"Occasionally, Anne went back and commented on a passage she had written earlier.",82.11248779296875,5.8163210391998295,6.359528549814086,5.321466721021212,5.74273830825442,15,13
anne_frank,These comments are clearly marked in this edition.,99.080810546875,6.896094739437103,6.630533617307398,6.896094739437103,6.630533617307398,8,8
anne_frank,"Naturally, Anne’s spelling and linguistic errors have been corrected.",240.7952117919922,7.373876718374399,7.911658767113369,6.9775707721710205,6.042070318204845,13,9
anne_frank,"Otherwise, the text has basically been left as she wrote it, since any attempts at editing and clarification would be inappropriate in a historical document.",57.85376739501953,6.328418488855715,5.854338682301191,6.273573021888733,6.021645858784186,27,25
anne_frank,"June 12, 1942 I hope I will be able to confide everything to you, as I have never been able to confide in anyone, and I hope you will be a great source of comfort and support.",14.814967155456543,4.8637218326330185,3.8889834822860005,4.943862815563743,3.8422122027461283,42,37
anne_frank,"source of comfort to me, and so has Kitty, whom I now write to regularly.",79.273681640625,6.735870080835679,6.308767053343939,6.795067532857259,6.639183171949272,17,15
anne_frank,"This way of keeping a diary is much nicer, and now I can hardly wait for those moments when I’m able to write in you.",71.3389663696289,6.178270664708368,6.1563935115128805,6.1359691190719605,5.609468378172962,29,25
anne_frank,"Oh, I’m so glad I brought you along!",70.90000915527344,6.106560786565145,6.147685036358492,5.729933857917786,4.549191265458952,12,8
anne_frank,"I’ll begin from the moment I got you, the moment I saw you lying on the table among my other birthday presents.",82.24324798583984,6.181140074363122,6.361824167931218,5.966403327204964,5.440889579555431,26,22
anne_frank,"(I went along when you were bought, but that doesn’t count.) On Friday, June 12, I was awake at six o’clock, which isn’t surprising, since it was my birthday.",50.21592712402344,5.157846079228653,5.650035343941401,5.472495100065938,5.564974191011005,45,29
anne_frank,"But I’m not allowed to get up at that hour, so I had to control my curiosity until quarter to seven.",95.21564483642578,5.465428786277771,6.5730430695958555,5.401515878382183,6.1685460733489155,25,21
anne_frank,"When I couldn’t wait any longer, I went to the dining room, where Moortje (the cat) welcomed me by rubbing against my legs.",66.36510467529297,5.379966253269231,6.052327992030799,5.24740138439718,5.431585010403382,32,23
anne_frank,"A little after seven I went to Daddy and Mama and then to the living room to open my presents, and you were the first thing I saw, maybe one of my nicest presents.",44.37055587768555,5.7087482391177,5.471530592295514,5.799273041241309,5.543823383375477,37,34
anne_frank,"Then a bouquet of roses, some peonies and a potted plant.",18.651409149169922,6.478968393802643,4.221212370806719,7.277308916503733,4.9130439437164615,15,11
