essay_id,span_label,span_start_token,span_end_token,span_size,context_length,baseline_mean_nll,ablated_mean_nll,delta_nll_mean,flip_rate,n_scored_tokens,score,score_bin,grade,token_count,token_count_z
B7C17E1993BA,early,0,51,51,512,2.157191901113473,2.1556553260952818,-0.0015365750181910443,0.00392156862745098,255,1,low,9,859,-0.5718064883087735
B7C17E1993BA,early_mid,51,102,51,512,2.157191901113473,2.1533446667241116,-0.003847234389361187,0.01568627450980392,255,1,low,9,859,-0.5718064883087735
B7C17E1993BA,middle,204,256,52,512,2.157191901113473,2.170805014815985,0.01361311370251217,0.00392156862745098,255,1,low,9,859,-0.5718064883087735
B7C17E1993BA,late,358,409,51,512,2.157191901113473,2.1637543023801316,0.006562401266658746,0.01568627450980392,255,1,low,9,859,-0.5718064883087735
B7C17E1993BA,random,327,378,51,512,2.157191901113473,2.1492607864679076,-0.007931114645565174,0.023529411764705882,255,1,low,9,859,-0.5718064883087735
FFBA3014CDC7,early,0,51,51,512,2.596918863408706,2.5966781111324533,-0.00024075227625264262,0.03137254901960784,255,2,low,10,980,0.1626795529371029
FFBA3014CDC7,early_mid,51,102,51,512,2.596918863408706,2.6089627883013558,0.012043924892649827,0.043137254901960784,255,2,low,10,980,0.1626795529371029
FFBA3014CDC7,middle,204,256,52,512,2.596918863408706,2.600861841089585,0.003942977680879256,0.058823529411764705,255,2,low,10,980,0.1626795529371029
FFBA3014CDC7,late,358,409,51,512,2.596918863408706,2.598961949815937,0.002043086407231165,0.027450980392156862,255,2,low,10,980,0.1626795529371029
FFBA3014CDC7,random,57,108,51,512,2.596918863408706,2.6089276837367636,0.012008820328057723,0.0392156862745098,255,2,low,10,980,0.1626795529371029
1909DEE8C6B8,early,0,51,51,512,2.4647272670970244,2.473001081803266,0.008273814706241556,0.050980392156862744,255,2,low,10,826,-0.7721208631940124
1909DEE8C6B8,early_mid,51,102,51,512,2.4647272670970244,2.494195390215107,0.029468123118082445,0.0392156862745098,255,2,low,10,826,-0.7721208631940124
1909DEE8C6B8,middle,204,256,52,512,2.4647272670970244,2.473706378656275,0.008979111559250796,0.03137254901960784,255,2,low,10,826,-0.7721208631940124
1909DEE8C6B8,late,358,409,51,512,2.4647272670970244,2.4961373553556556,0.03141008825863123,0.047058823529411764,255,2,low,10,826,-0.7721208631940124
1909DEE8C6B8,random,12,63,51,512,2.4647272670970244,2.469471377952426,0.0047441108554018285,0.03137254901960784,255,2,low,10,826,-0.7721208631940124
