essay_id,score,grade,ell,prompt_id,word_count,token_count,regime,burn_in_used,half_life,half_life_128,delta_max,delta_128,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,score_bin
2BB4BFD96ABE,1,9,non_ELL,Does the electoral college work?,330,425,short,128,70.98142153988093,70.98142153988093,0.8123312632611395,0.8123312632611395,10.378549568028616,10.022115332129147,9.566218304767476,,,,low
A8BBE9026DC2,1,10,non_ELL,Car-free cities,359,511,short,128,55.54108894964874,55.54108894964874,4.557692059098166,4.557692059098166,23.75968146371657,20.66198818786415,19.201989404618406,,,,low
1909DEE8C6B8,2,10,non_ELL,Car-free cities,673,826,extended,512,226.05355965502758,95.72379531253412,7.543444299818496,2.0585921709860386,19.30371860062562,19.286102130141785,17.24512642963958,15.008791123979645,11.995734998556607,11.760274300807122,low
F737FB396F2E,1,10,ELL,Distance learning,356,446,short,128,77.87971498220189,77.87971498220189,1.2747236471950156,1.2747236471950156,11.457877844412206,10.997019415576487,10.18315419721719,,,,low
3BBD17BCB443,1,10,non_ELL,Exploring Venus,515,735,main,384,61.53175827660921,49.39335717098787,1.7733693743715353,1.0444636122112083,12.099201171309877,11.138408057531132,11.054737559098669,10.305626218397949,10.325831796938342,,low
2E4A8624CB67,2,10,ELL,Exploring Venus,356,427,short,128,74.96465276624237,74.96465276624237,2.92857061157628,2.92857061157628,29.801597276934956,28.640041768651727,26.873026665358676,,,,low
E2BB0AA98EA5,2,8,ELL,Mandatory extracurricular activities,376,416,short,128,57.056705778846315,57.056705778846315,1.3784649518161238,1.3784649518161238,13.042168966304333,12.161947941891862,11.663704014488209,,,,low
78F22782F4A4,2,6,non_ELL,"""A Cowboy Who Rode the Waves""",308,415,short,128,80.76638196952871,80.76638196952871,4.276214742996553,4.276214742996553,12.66013129190214,11.280981763931301,8.383916548905587,,,,low
C25E3A9AA408,1,12,ELL,Distance learning,382,467,short,128,54.20289759107086,54.20289759107086,6.60291935298828,6.60291935298828,43.48625064713111,38.728010907724325,36.88333129414283,,,,low
8.06101E+11,1,10,non_ELL,Car-free cities,360,482,short,128,51.96576777117188,51.96576777117188,2.401500248114681,2.401500248114681,17.445585014764998,15.521090830007704,15.044084766650316,,,,low
2BB9A0AD9F82,2,9,non_ELL,Does the electoral college work?,340,407,short,128,74.17871369447163,74.17871369447163,0.8106715261695872,0.8106715261695872,10.73803795376541,10.409359531405425,9.927366427595823,,,,low
3DC3405DF531,2,11,ELL,Distance learning,606,652,main,384,162.24289254062109,101.75716145158451,2.5782521268233047,0.8865488227508536,21.82630732567701,22.0207986608225,20.939758502926157,19.4349239816177,19.248055198853706,,low
42C45E57A06D,2,9,non_ELL,Does the electoral college work?,375,433,short,128,56.15951878238721,56.15951878238721,3.0867616389908576,3.0867616389908576,24.250584274584174,22.206330551291526,21.163822635593316,,,,low
A66B88F03338,2,10,non_ELL,Car-free cities,625,760,main,384,121.13852546047465,80.18599784204812,2.4879294639663474,1.340120708318766,14.322804644590322,13.879573147187955,12.982683936271556,12.044593790192415,11.834875180623975,,low
63587869CADC,1,9,non_ELL,Does the electoral college work?,511,703,main,384,84.38834987544153,57.06712047350128,1.1781440393789193,0.7817637118322782,11.404283636332753,10.905294556093601,10.622519924500475,10.608463992074936,10.226139596953834,,low
D23F65F4652B,2,8,non_ELL,The Face on Mars,332,444,short,128,68.2827461170977,68.2827461170977,1.7008903780877187,1.7008903780877187,15.257997980998638,14.468544223984187,13.55710760291092,,,,low
F91D7BB4277C,1,10,non_ELL,Car-free cities,304,405,short,128,75.95142752190195,75.95142752190195,1.1898885670589934,1.1898885670589934,22.701528821221757,22.243196036252854,21.511640254162764,,,,low
BA72320741A4,2,10,non_ELL,Car-free cities,471,595,short,128,68.91010711290393,68.91010711290393,1.30637259296679,1.30637259296679,10.457895859866854,9.858986437544367,9.151523266900064,,,,low
FF7AFA7FF8B6,1,10,ELL,Car-free cities,411,573,short,128,77.71956765556143,77.71956765556143,1.6502240412428861,1.6502240412428861,22.41259131581909,21.81262016337447,20.762367274576203,,,,low
6DC53CAA1B35,2,8,ELL,Mandatory extracurricular activities,308,432,short,128,88.77577954875001,88.77577954875001,5.300291663884742,5.300291663884742,24.962476988614696,23.986282305958976,19.662185324729954,,,,low
1BE638E9C951,2,8,ELL,Mandatory extracurricular activities,413,527,short,128,91.62867130993023,91.62867130993023,0.6111480841302566,0.6111480841302566,10.768262217841059,10.694810703963064,10.157114133710802,,,,low
174082DA0A66,2,10,non_ELL,Driverless cars,354,413,short,128,63.03529093057152,63.03529093057152,3.21305499304734,3.21305499304734,22.64330358769371,20.986838371892663,19.43024859464637,,,,low
2E7A3C2D1DF1,2,9,non_ELL,Does the electoral college work?,333,444,short,128,49.42446270548014,49.42446270548014,0.20454663218296787,0.20454663218296787,5.973588240605338,5.785763446794153,5.76904160842237,,,,low
FE409DDFA2C2,2,10,non_ELL,Car-free cities,403,518,short,128,61.94977177910343,61.94977177910343,1.8192665756972737,1.8192665756972737,20.042708291001116,19.070805552447833,18.223441715303842,,,,low
A8411CE08C68,1,9,non_ELL,Does the electoral college work?,334,471,short,128,99.97656654602969,99.97656654602969,0.24994868002889437,0.24994868002889437,6.493841805181865,6.529309891591039,6.243893125152971,,,,low
3AFA0A3CEEDE,2,6,non_ELL,"""A Cowboy Who Rode the Waves""",321,423,short,128,94.51237307549474,94.51237307549474,0.5691796066774248,0.5691796066774248,9.755225480596724,9.72994071169741,9.1860458739193,,,,low
3D7740BCAA23,1,9,non_ELL,Does the electoral college work?,489,632,short,128,49.78952473449694,49.78952473449694,0.8889177644311257,0.8889177644311257,16.496274362235216,15.696776655401159,15.60735659780409,,,,low
2DEC6F2AE21A,2,9,non_ELL,Does the electoral college work?,334,440,short,128,89.23856640677883,89.23856640677883,2.5011255243578043,2.5011255243578043,10.11760474430524,9.681315562673596,7.616479219947435,,,,low
30C6A72F5821,1,9,non_ELL,Does the electoral college work?,329,466,short,128,74.77958941319396,74.77958941319396,1.1224992148711213,1.1224992148711213,8.607426519332869,8.159855860627019,7.484927304461747,,,,low
009F4E9310CB,2,8,ELL,Seeking multiple opinions,396,446,short,128,82.16492976578523,82.16492976578523,2.436710579352983,2.436710579352983,18.035550292089958,17.300042266607814,15.598839712736975,,,,low
5B2EAD37D5A8,2,8,non_ELL,The Face on Mars,311,409,short,128,87.35224049622592,87.35224049622592,1.7483339067069608,1.7483339067069608,16.546306632277034,16.17435080144971,14.797972725570073,,,,low
836FC7F5F535,2,8,non_ELL,Mandatory extracurricular activities,399,552,short,128,60.724207062750565,60.724207062750565,0.6497250632958647,0.6497250632958647,7.954585069148941,7.59267426026138,7.304860005853076,,,,low
076DBAE9AA98,2,8,non_ELL,Grades for extracurricular activities,318,455,short,128,80.0861499901558,80.0861499901558,0.5470817931938443,0.5470817931938443,6.8973782688625125,6.715673446598915,6.350296475668668,,,,low
915D19B0AB77,1,9,ELL,Does the electoral college work?,466,633,short,128,85.5187324811559,85.5187324811559,0.6646395237125251,0.6646395237125251,7.185388262943831,7.021403875035961,6.520748739231306,,,,low
2414D2AF4D56,2,10,ELL,Exploring Venus,310,434,short,128,84.15344726717301,84.15344726717301,8.58007480967175,8.58007480967175,26.768075461415606,24.449893019486073,18.188000651743856,,,,low
913FE4438522,1,10,non_ELL,Car-free cities,304,452,short,128,90.56070144101648,90.56070144101648,6.0700175866153945,6.0700175866153945,21.538983376812965,20.657112209812713,15.46896579019757,,,,low
56C208138AC9,2,6,non_ELL,"""A Cowboy Who Rode the Waves""",348,422,short,128,51.921286687138945,51.921286687138945,1.9498421466906386,1.9498421466906386,22.360778711451715,20.794741595626704,20.410936564761077,,,,low
1840AEC2DC71,2,9,non_ELL,Does the electoral college work?,501,682,main,384,85.38758811253085,50.51821530266492,3.469581827993059,1.9074996644431508,13.738203958218884,12.090097262607761,11.830704293775733,10.899564139224703,10.268622130225825,,low
2D976D9E1787,2,8,non_ELL,Seeking multiple opinions,382,406,short,128,56.18087075495019,56.18087075495019,2.508030009648997,2.508030009648997,8.648687485281624,6.989174039258632,6.140657475632627,,,,low
ACCEC5D34B36,1,10,non_ELL,Facial action coding system,329,431,short,128,61.82395784352548,61.82395784352548,1.9574024667102563,1.9574024667102563,32.67498801616398,31.624877912344775,30.717585549453723,,,,low
80875397FA07,2,8,non_ELL,Cell phones at school,413,471,short,128,78.16441730916671,78.16441730916671,1.4231355600186593,1.4231355600186593,14.577912445109796,14.068588572678243,13.154776885091136,,,,low
83CD371891D3,2,6,non_ELL,"""A Cowboy Who Rode the Waves""",338,441,short,128,60.59491105461923,60.59491105461923,2.944577587983037,2.944577587983037,15.27487829841989,13.627268997669228,12.330300710436854,,,,low
0E6BB199BF93,2,8,ELL,Mandatory extracurricular activities,391,458,short,128,53.07184107079793,53.07184107079793,2.280970894752972,2.280970894752972,18.379883301967794,16.647925748120056,16.098912407214822,,,,low
75F091D09CAB,2,10,non_ELL,Facial action coding system,351,435,short,128,56.41882234238163,56.41882234238163,1.9693607025051314,1.9693607025051314,21.167615593487287,19.87722694172199,19.198254890982156,,,,low
443033444A5F,1,8,non_ELL,Seeking multiple opinions,514,568,short,128,50.97625598897406,50.97625598897406,1.0811141017420436,1.0811141017420436,14.553053918938852,13.641502892333637,13.471939817196809,,,,low
A2241CFE26C1,2,10,non_ELL,Car-free cities,500,699,main,384,156.045945555478,97.44120298334657,1.8255074480887554,0.733956000583607,11.63945699040659,11.674071559072685,10.905500989822983,10.089478989148857,9.813949542317834,,low
AFD739EDDEA9,1,10,ELL,Facial action coding system,423,535,short,128,59.0887177315277,59.0887177315277,8.558964098482726,8.558964098482726,26.907075721828384,21.851708135479345,18.34811162334566,,,,low
AE5863E389D5,2,10,non_ELL,Car-free cities,345,417,short,128,81.70601147549233,81.70601147549233,2.4619625193061996,2.4619625193061996,14.354452701644401,13.594283506456115,11.892490182338202,,,,low
44D3C95615CA,1,10,non_ELL,Facial action coding system,274,407,short,128,52.793529591837796,52.793529591837796,5.959542326412322,5.959542326412322,25.254133473102087,20.668443641009972,19.294591146689765,,,,low
30A900519B84,1,10,ELL,Facial action coding system,349,491,short,128,89.3157013568087,89.3157013568087,1.4122478207637776,1.4122478207637776,18.23207557963203,17.98805186656821,16.819827758868254,,,,low
F772E0A3152A,2,9,non_ELL,Does the electoral college work?,339,414,short,128,56.45283398696745,56.45283398696745,1.5799928817791073,1.5799928817791073,12.195440152905475,11.161617810597868,10.615447271126367,,,,low
6A97E65BBE95,1,10,ELL,Exploring Venus,364,510,short,128,64.77386256347366,64.77386256347366,1.0180004869613413,1.0180004869613413,15.193859490631441,14.691089205981074,14.1758590036701,,,,low
CC82A1D80D1A,2,10,non_ELL,Car-free cities,698,941,extended,512,212.2971955374269,86.45951466818033,1.4675515086621722,0.4721674542868737,13.028732897121584,12.920291538389169,12.55656544283471,12.159329660645588,11.887102826493193,11.561181388459412,low
2387E5E90FE1,2,10,non_ELL,Driverless cars,372,452,short,128,55.69663079451206,55.69663079451206,2.2236964066471483,2.2236964066471483,12.777801487782922,11.27635840016077,10.554105081135774,,,,low
BB3A6C2D0B65,2,9,non_ELL,Does the electoral college work?,362,495,short,128,82.26496286760738,82.26496286760738,0.7414590572421922,0.7414590572421922,6.996178067791215,6.773504854388325,6.254719010549023,,,,low
BF3728CF3A98,2,10,non_ELL,Car-free cities,470,616,short,128,84.37398768782543,84.37398768782543,1.0220801101009656,1.0220801101009656,13.523713854966706,13.251337001931562,12.50163374486574,,,,low
C6C49435744E,2,10,non_ELL,Facial action coding system,376,447,short,128,59.881393697156184,59.881393697156184,1.647169698725735,1.647169698725735,10.903844103804332,9.958600280418995,9.256674405078597,,,,low
9A95F4DC5098,2,10,non_ELL,Car-free cities,368,448,short,128,77.27630554170237,77.27630554170237,0.35450933387284955,0.35450933387284955,8.844643816667066,8.713783387020976,8.490134482794216,,,,low
4E0C8B6B069B,1,9,non_ELL,Does the electoral college work?,334,430,short,128,56.110677659601706,56.110677659601706,2.542001890305791,2.542001890305791,20.711817032744037,19.02492830986753,18.169815142438246,,,,low
