corpus,beta,r2_Q,alpha_matched,r2_P,matched,n_bands
buckeye,1.5479582915232484,0.8916887911987363,1.1989731896159876,0.9127781181124713,True,7
gutenberg_fiction_en,1.5945421947273706,0.977659107290085,1.0535369339053202,0.9515015609393946,True,7
literary_fi,1.3445309969146064,0.9893544004122233,0.9340865214217531,0.9674288835392616,True,7
literary_ja,1.0949823519354545,0.9606940692908514,0.9824617292821122,0.975806254049173,True,7
news_en,1.525005464697513,0.9932601451375098,1.1577735171654746,0.9459300780369959,True,7
subtitles_dialogue_ar,1.2168094231610647,0.9719844424861522,,,False,7
subtitles_dialogue_de,1.4489249359624659,0.9893046680845867,,,False,7
subtitles_dialogue_en,1.5354249457117952,0.9886639726980784,,,False,7
subtitles_dialogue_es,1.3356108014626484,0.9471139858386858,,,False,7
subtitles_dialogue_fr,1.419107902905311,0.9933548635848398,,,False,7
subtitles_dialogue_ru,1.3154619195116808,0.9932785993363211,1.0490218092589827,0.975427793376592,True,7
subtitles_dialogue_tr,1.2945381835945569,0.9874481100690474,,,False,7
ted_transcripts_en,1.6297637780709735,0.9933159720623994,0.9710683882257065,0.9675953115602787,True,7
ted_transcripts_ru,1.557691590249082,0.9924911940187188,1.0156056660203232,0.9747826100416896,True,7
